"tag","class","text_preview","href"
"link","js-favicon","",""
"link","js-favicon","",""
"div","menu-container d-md-none","",""
"button","js-modal-open-private header-utility","",""
"div","js-logo-container logo-container","",""
"div","logo-img-container ","",""
"a","","",""
"img","logo-img logo-big transition-soft","",""
"div","form-group position-relative m-0","",""
"div","utilities-container icons-md-only","0",""
"span","js-header-utility-icon js-header-utility-icon-only header-utility   ","",""
"a","header-icon","",""
"span","","0",""
"a","js-modal-open-private header-utility","0",""
"span","js-header-utility-icon header-icon-big  ","0",""
"span","js-cart-widget-amount badge  ","0",""
"div","notification-cart-image-container mr-3","",""
"img","js-cart-notification-item-image-private notification-cart-image img-absolute-centered-vertically","",""
"div","mb-2 mb-md-1","()",""
"span","js-cart-notification-item-name-private","",""
"span","js-cart-notification-item-variant-container-private ","()",""
"span","js-cart-notification-item-variant-private","",""
"div","mb-2 mb-md-1","x",""
"span","","x",""
"span","js-cart-notification-item-quantity-private","",""
"span","","x",""
"span","js-cart-notification-item-price-private ","",""
"ul","list-subitems","Adaptadores USB
		
					
	
		
			Alcohol Isopropílico
		
					
	
		
			Fichas & Adaptadores HDMI/DVI",""
"ul","list-subitems","Accesorios para Celular",""
"ul","list-subitems","Placas de Video
		
							
					
		
			Nvidia GeForce
		
							
					
		
			RTX Series
		
							
	",""
"ul","list-subitems","Nvidia GeForce
		
							
					
		
			RTX Series
		
							
					
		
			Rtx 30xx Series
		
					
	
	",""
"ul","list-subitems","RTX Series
		
							
					
		
			Rtx 30xx Series
		
					
	
		
			Rtx 40xx Series
		
					
	
		
			",""
"ul","list-subitems","Rtx 30xx Series
		
					
	
		
			Rtx 40xx Series
		
					
	
		
			Rtx 50xx Series",""
"ul","list-subitems","Radeon Rx",""
"ul","list-subitems","AsRock
		
					
	
		
			Asus
		
					
	
		
			Gigabyte
		
					
	
		
			MSI
		
					
	
		
			Sapphir",""
"ul","list-subitems","AMD
		
							
					
		
			Athlon
		
					
	
		
			Socket AM4
		
							
					
		
			Ryzen 3
		
				",""
"ul","list-subitems","Athlon
		
					
	
		
			Socket AM4
		
							
					
		
			Ryzen 3
		
					
	
		
			Ryzen 5
		
					
",""
"ul","list-subitems","Ryzen 3
		
					
	
		
			Ryzen 5
		
					
	
		
			Ryzen 7
		
					
	
		
			Ryzen 9",""
"ul","list-subitems","Ryzen Serie 7000
		
					
	
		
			Ryzen Serie 8000
		
					
	
		
			Ryzen Serie 9000",""
"ul","list-subitems","Intel Celeron
		
					
	
		
			Pentium Gold
		
					
	
		
			Socket LGA1200
		
					
	
		
			Socket ",""
"ul","list-subitems","AMD
		
							
					
		
			Socket AM4
		
					
	
		
			Socket AM5
		
					
			
			
	
		
			INTEL
		
",""
"ul","list-subitems","Socket AM4
		
					
	
		
			Socket AM5",""
