"tag","class","text_preview","href","is_valid","type"
"andes-modal","andes-modal--iframe","",""
"div","cookie-consent-snackbar__message","¡Listo! Guardamos tus preferencias.",""
"div","cookie-consent-snackbar__message","Algo salió mal. Por favor, vuelve a intentarlo.",""
"img","","","https://http2.mlstatic.com/storage/mshops-appearance-api/images/88/155289488/logo-2024112910060551230.png"
"a","cart-button","0","/gz/cart"
"a","","PC de Escritorio","https://www.tiendatrade.com.ar/listado/computacion/pc-escritorio/"
"a","","Notebooks y Accesorios","https://www.tiendatrade.com.ar/listado/computacion/notebooks-accesorios/"
"a","","Componentes de PC","https://www.tiendatrade.com.ar/listado/computacion/componentes-pc/"
"a","","Fuentes de Alimentación","https://www.tiendatrade.com.ar/listado/computacion/componentes-pc/fuentes-alimentacion/"
"a","","Placas","https://www.tiendatrade.com.ar/listado/computacion/componentes-pc/placas/"
"a","","Discos y Accesorios","https://www.tiendatrade.com.ar/listado/computacion/componentes-pc/discos-accesorios/"
"a","","Procesadores","https://www.tiendatrade.com.ar/listado/computacion/componentes-pc/procesadores/"
"a","","Memorias RAM","https://www.tiendatrade.com.ar/listado/computacion/componentes-pc/memorias-ram/"
"a","","Almacenamiento","https://www.tiendatrade.com.ar/listado/computacion/almacenamiento/"
"a","","Periféricos de PC","https://www.tiendatrade.com.ar/listado/computacion/perifericos-pc/"
"a","","Cables y Hubs USB","https://www.tiendatrade.com.ar/listado/computacion/cables-hubs-usb/"
"a","","PC de Escritorio","https://www.tiendatrade.com.ar/listado/computacion/pc-escritorio/"
"div","target-subCategory-1","AMD
                        
                      
                      
                        
",""
"a","","AMD","https://www.tiendatrade.com.ar/listado/computacion/pc-escritorio/_BRAND_18034"
"a","","Intel","https://www.tiendatrade.com.ar/listado/computacion/pc-escritorio/_BRAND_7855833"
"a","","Notebooks","https://www.tiendatrade.com.ar/listado/computacion/notebooks-accesorios/"
"div","target-subCategory-2","Notebooks
                        
                      
                      
                   ",""
"a","","Notebooks","https://www.tiendatrade.com.ar/listado/computacion/laptops-accesorios/notebooks/"
"a","","Accesorios para Laptops","https://www.tiendatrade.com.ar/listado/computacion/notebooks-accesorios/accesorios-notebooks/"
"a","","Combos","https://www.tiendatrade.com.ar/listado/computacion/componentes-pc/placas/motherboards/"
"div","target-subCategory-3","AMD
                        
                      
                      
                        
",""
"a","","AMD","https://www.tiendatrade.com.ar/listado/computacion/componentes-pc/placas/motherboards/marca-amd/"
"a","","Intel","https://www.tiendatrade.com.ar/listado/computacion/componentes-pc/placas/motherboards/marca-intel/"
"a","","Asus","https://www.tiendatrade.com.ar/listado/computacion/componentes-pc/placas/motherboards/marca-asus/"
"a","","Envío Gratis","https://www.tiendatrade.com.ar/listado/computacion/_CostoEnvio_Gratis#applied_filter_id%25252525252525252525253Dshipping_cost_highlighted_free"
"div","target-subCategory-4","",""
"a","","Cuotas sin interés","https://www.tiendatrade.com.ar/listado/computacion/_Installments_GoodFinancing#applied_filter_id%252525252525252525252525252525253Dinstallments_highligh"
"div","target-subCategory-5","",""
"span","","",""
"a","","PC de Escritorio","https://www.tiendatrade.com.ar/listado/computacion/pc-escritorio/"
"a","","Notebooks y Accesorios","https://www.tiendatrade.com.ar/listado/computacion/notebooks-accesorios/"
"a","","Componentes de PC","https://www.tiendatrade.com.ar/listado/computacion/componentes-pc/"
"a","","Fuentes de Alimentación","https://www.tiendatrade.com.ar/listado/computacion/componentes-pc/fuentes-alimentacion/"
"a","","Placas","https://www.tiendatrade.com.ar/listado/computacion/componentes-pc/placas/"
"a","","Discos y Accesorios","https://www.tiendatrade.com.ar/listado/computacion/componentes-pc/discos-accesorios/"
"a","","Procesadores","https://www.tiendatrade.com.ar/listado/computacion/componentes-pc/procesadores/"
"a","","Memorias RAM","https://www.tiendatrade.com.ar/listado/computacion/componentes-pc/memorias-ram/"
