ruta,prediccion,valor_real
marca/seagate/,1,1
marca/razer/,1,1
marca-filtros/samsung/,1,1
computadoras-pc/mini-pcs/,1,1
conectores/,1,1
productos?/categoria/mouse-pad/,1,1
pcarmada,1,1
energia/pilas/,1,1
motherboard/intel/,1,1
perifericos,1,1
_BRAND_18685,1,1
cables/,1,1
marca/deep-cool/,1,1
marca-filtros/amd/,1,1
redragon-venex.htm,1,1
marca/gigabyte/,1,1
tablet/sansung/,1,1
corsair/,1,1
apple/ipad/,1,1
370-pc-gamer,1,1
accesorios-para-pc/,1,1
476-antivirus,1,0
formas-de-pago/,0,0
ADATA-VX.htm,1,1
/mis-favoritos,1,0
microprocesadores/,1,1
perifericos1/,1,1
estabilizadores/,1,1
productos?/cate=5,1,1
productos?/cate=7,1,1
componentes-pc/fuentes/,1,1
marca/trust-gaming/,1,1
portatil/tablet/,1,1
kingston.htm,1,1
productos?/cate=34,1,1
accesorios-/ups/,1,1
productos/,1,1
favoritos/,1,0
perifericos/mouse/,1,1
400-juegos,1,1
almacenamiento/,1,1
pc-armadas/,1,1
placas-de-video/nuevo/,1,1
relojes-smartwatch,1,1
fuente/nuevo/,1,1
almacenamiento/ssd-m2/,1,1
msi/,1,1
tag/msi,1,1
facturas/,1,0
productos?/cate=47,1,1
joystick/,1,1
impresoras/,1,1
feed/,1,0
marca-filtros/msi/,1,1
ingresar/,1,0
perifericos/,1,1
logitech/,1,1
ingresar/,1,0
comments/feed/,1,0
405-hardware,1,1
productos?/cate=16,1,1
procesadores-amd/,1,1
contacto/,1,0
productos?/categoria/mouse/,1,1
_BRAND_47354,1,1
perifericos/joystick/,1,1
soportes/,1,1
486-streaming,1,1
smartwatch/,1,1
configurador-de-pc.htm,1,0
414-motherboards,1,1
accesorios/merchandising,1,1
productos?/cate=2,1,1
431-monitores-y-tvs,1,1
productos?/categoria/conectividad/,1,1
productos?/cate=19,1,1
productos?/cate=113,1,1
_BRAND_195091,1,1
etiqueta/🔥/,1,0
_BRAND_5067244,1,1
teclados-y-mouses/,1,1
perifericos/pads/,1,1
pc-armadas,1,1
pc-hogarena-oficina/,1,1
notebooks,1,1
poke-ofertas,1,0
perifericos/,1,1
parlantes-/,1,1
apple/airpods/,1,1
marca/msi/,1,1
perifericos/keycaps/,1,1
_BRAND_18034,1,1
estabilizadores/,1,1
memorias-ram/,1,1
productos?/cate=39,1,1
consolas/playstation/,1,1
garantia/,1,0
placas-de-video/usado/,1,1
impresora/,1,1
parlantes-bluetooth,1,1
_BRAND_19879,1,1
mis-consultas/,1,0
libro-de-quejas/,1,0
marca/kingston/,1,1
conectividad-redes/switch/,1,1
consolas/,1,1
productos?/categoria-producto/go-pro/,1,1
productos?/cate=111,1,1
logitech-vx.htm,1,1
garantia/,1,0
marca/philips/,1,1
motherboards/,1,1
productos?/categoria/fuentes/,1,1
marca/crucial/,1,1
conectividad/cables/,1,1
hardware/ssd/,1,1
fuentes-atx/,1,1
memorias-ram/memorias/,1,1
consolas/,1,1
outlet-/,1,1
390-estabilizadores,1,1
contacto/,1,0
marca/game-pro/,1,1
productos?/categoria/perifericos/,1,1
perifericos/volantes/,1,1
marca/lenovo/,1,1
415-lectograbadoras,1,1
marca/samsung/,1,1
volantes/,1,1
418-placas-de-video,1,1
marca-filtros/viewsonic/,1,1
productos?/categoria/monitores-diseno/,1,1
sillas-gamer/aureox/,1,1
mochilas/,1,1
marca/intel/,1,1
hardware/,1,1
carrito/,0,0
nan,0,0
energia/,1,1
wp-json/wp/v2/pages/869711,0,0
tu-pc-gamer,1,1
hogar/notebooks/,1,1
pcs-gamer/,1,1
_BRAND_9079566,1,1
tablet/enova/,1,1
razer/,1,1
475-software,1,0
485-proyectores,1,1
smart-watch/,1,1
apple/,1,1
parlantes/,1,1
productos?/categoria/gameroom/,1,1
ayuda/,0,0
msi.htm,1,1
envios/,0,0
notebooks,1,1
como-comprar/,1,0
harry-potter,1,0
apple/macbook/,1,1
comments/feed/,1,0
perifericos-/mouse/,1,1
productos?/cate=74,1,1
refrigeracion/,1,1
teclados/,1,1
_BRAND_206,1,1
productos?/categoria/consolas/,1,1
outlet-/outlet/,1,0
tablets/,1,1
marca/nvidia/,1,1
combos/,1,1
monitores/,1,1
pc-armadas/amd-ryzen/,1,1
perifericos/switches/,1,1
fuentes/gabinetes/,1,1
