tag,class,text_preview,type
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Memoria Ram Ddr4 4gb 2666mhz Pny Performance,title
a,,Memoria Ram Ddr4 4gb 2666mhz Pny Performance,link
div,product-price-and-shipping,"$ 8.874,53",price
a,,"$ 8.874,53",link
span,product-price,"$ 8.874,53",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-2012 col-6 col-md-6 col-lg-4 col-xl-3,Últimas unidades en stock,productWrapper
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Tarjeta Micro Sd Sandisk Ultra 64gb C10 C/ada 100m,title
a,,Tarjeta Micro Sd Sandisk Ultra 64gb C10 C/ada 100m,link
a,,"$ 10.635,17",link
span,product-price,"$ 10.635,17",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-3882 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Memoria Ram Ddr4 4gb 2666mhz Kingston,title
a,,Memoria Ram Ddr4 4gb 2666mhz Kingston,link
div,product-price-and-shipping,"$ 12.424,34",price
a,,"$ 12.424,34",link
span,product-price,"$ 12.424,34",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-1825 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Pendrive Kingston 128gb Usb-c Dt70,title
a,,Pendrive Kingston 128gb Usb-c Dt70,link
div,product-price-and-shipping,"$ 14.149,1",price
a,,"$ 14.149,14",link
span,product-price,"$ 14.149,14",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
a,,"Potencia tu almacenamiento con el Pen Drive Kingston de 128GB DT70 USB Type C 3.2, ofreciendo amplia",
div,js-product-miniature-wrapper js-product-miniature-wrapper-1117 col-6 col-md-6 col-lg-4 col-xl-3,Últimas unidades en stock,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Cooler Cpu Aerocool Verkho I (1200),title
a,,Cooler Cpu Aerocool Verkho I (1200),link
div,product-price-and-shipping,"$ 14.724,43",price
a,,"$ 14.724,43",link
span,product-price,"$ 14.724,43",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-1656 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Memoria Ram Ddr3 4gb 1600 Mhz Markvision 1.35v Bulk,title
a,,Memoria Ram Ddr3 4gb 1600 Mhz Markvision 1.35v Bulk,link
div,product-price-and-shipping,"$ 17.053,30",price
span,product-price,"$ 17.053,30",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-5402 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Cooler Cpu Id Cooling Se 903 Xt Basic,title
a,,Cooler Cpu Id Cooling Se 903 Xt Basic,link
div,product-price-and-shipping,"$ 21.142,68",price
a,,"$ 21.142,68",link
span,product-price,"$ 21.142,68",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-5165 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Cooler Cpu Id Cooling Se 903 Sd V3,title
a,,Cooler Cpu Id Cooling Se 903 Sd V3,link
div,product-price-and-shipping,"$ 21.142,1",price
a,,"$ 21.142,68",link
span,product-price,"$ 21.142,68",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-5240 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Memoria Ram Sodimm Ddr4 8gb 3200mhz Hiksemi,title
a,,Memoria Ram Sodimm Ddr4 8gb 3200mhz Hiksemi,link
div,product-price-and-shipping,"$ 21.568,66",price
a,,"$ 21.568,66",link
span,product-price,"$ 21.568,66",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-1055 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Memoria Ram Sodimm Ddr4 8gb 3200mhz Kingston,title
a,,Memoria Ram Sodimm Ddr4 8gb 3200mhz Kingston,link
div,product-price-and-shipping,"$ 21.824,25",price
a,,"$ 21.824,25",link
span,product-price,"$ 21.824,25",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Memoria Ram Ddr4 4gb 2666mhz Hikvision,title
a,,Memoria Ram Ddr4 4gb 2666mhz Hikvision,link
a,,"$ 23.073,78",link
span,product-price,"$ 23.073,78",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-1658 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Memoria Ram Ddr4 4gb 2400 Mhz Markvision 1.20v Bulk,title
a,,Memoria Ram Ddr4 4gb 2400 Mhz Markvision 1.20v Bulk,link
a,,"$ 23.201,57",link
span,product-price,"$ 23.201,57",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-1437 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Memoria Ram Ddr4 4gb 2400mhz Markvision,title
a,,Memoria Ram Ddr4 4gb 2400mhz Markvision,link
a,,"$ 23.201,57",link
span,product-price,"$ 23.201,57",price
div,cuotas-grid-list,6 cuotas sin interés al,cuotas
div,precio-de-lista,6 cuotas sin interés al,cuotas
div,js-product-miniature-wrapper js-product-miniature-wrapper-1659 col-6 col-md-6 col-lg-4 col-xl-3,Todas las caracteristicas de este producto:,productWrapper
article,product-miniature product-miniature-default product-miniature-grid product-miniature-layout-1 js-product-miniature,Todas las caracteristicas de este producto:,productWrapper
img,img-fluid product-thumbnail-first loaded,,image
h3,h3 product-title,Memoria Ram Ddr4 4gb 2666 Mhz Markvision 1.20v Bulk,title
a,,Memoria Ram Ddr4 4gb 2666 Mhz Markvision 1.20v Bulk,link
a,,"$ 25.090,07",link
span,product-price,"$ 25.090,07",price
