"tag","class","text_preview","is_valid","type"
"div","header-banner","","0",""
"div","container","¡Envíos a todo el pais!","0",""
"div","row justify-content-between","¡Envíos a todo el pais!","0",""
"div","col col-auto col-md left-nav","","0",""
"div","col col-auto center-nav text-center","¡Envíos a todo el pais!","0",""
"div","d-inline-block","¡Envíos a todo el pais!","0",""
"div","rte-content d-inline-block","¡Envíos a todo el pais!","0",""
"p","","¡Envíos a todo el pais!","0",""
"span","","¡Envíos a todo el pais!","0",""
"span","","¡Envíos a todo el pais!","0",""
"div","col col-auto col-md right-nav text-right","","0",""
"div","col col-auto col-header-left","","0",""
"div","","","0",""
"a","","","0",""
"img","logo img-fluid","","0",""
"div","col col-header-center","","0",""
"div","input-group","","0",""
"div","autocomplete-suggestions","","0",""
"div","col col-auto header-btn-w header-user-btn-w","Ingresar","0",""
"a","header-btn header-user-btn","Ingresar","0",""
"span","title","Ingresar","0",""
"span","cart-products-count-btn d-none","0","0",""
"div","cart-title","Descripción de tu pedido ×","0",""
"span","modal-title","Descripción de tu pedido","0",""
"span","","×","0",""
"div","col-12","","0",""
"div","row","","0",""
"span","cbp-tab-title","Productos","0",""
"div","tabs-links col-2","Computadoras","0",""
"ul","cbp-hrsub-tabs-names cbp-tabs-names","Computadoras","0",""
"li","innertab-8","Computadoras","0",""
"img","cbp-mainlink-iicon","","0",""
"li","innertab-9","Hardware","0",""
"img","cbp-mainlink-iicon","","0",""
"li","innertab-10","Periféricos","0",""
"img","cbp-mainlink-iicon","","0",""
"li","innertab-11","Gaming House","0",""
"img","cbp-mainlink-iicon","","0",""
"li","innertab-12","Monitores","0",""
"img","cbp-mainlink-iicon","","0",""
"li","innertab-13","Impresoras","0",""
"img","cbp-mainlink-iicon","","0",""
"li","innertab-14","Conectividad","0",""
"img","cbp-mainlink-iicon","","0",""
"li","innertab-15","Energía","0",""
"img","cbp-mainlink-iicon","","0",""
"li","innertab-19","Videovigilancia","0",""
"img","cbp-mainlink-iicon","","0",""
"li","innertab-22","Tablets","0",""
"img","cbp-mainlink-iicon","","0",""
"a","","Pc Hogar & Oficina","0",""
"a","","Pc Gamer","0",""
"a","","Pc Diseño","0",""
"a","","Mini Pc","0",""
"div","col-3 cbp-menu-column cbp-menu-element menu-element-id-6","Notebooks","0",""
"div","cbp-menu-column-inner","Notebooks","0",""
"ul","cbp-links cbp-valinks","Notebook Oficina","0",""
"a","","Notebook Oficina","0",""
"a","","Notebook Gamer","0",""
"a","","Notebook Diseño","0",""
"a","","Mochilas","0",""
"div","col-3 cbp-menu-column cbp-menu-element menu-element-id-4","Software","0",""
"div","cbp-menu-column-inner","Software","0",""
"ul","cbp-links cbp-valinks cbp-valinks-vertical","Sistemas Operativos","0",""
"a","","Sistemas Operativos","0",""
"div","col-3 cbp-menu-column cbp-menu-element menu-element-id-5","Combos de actualización","0",""
"div","cbp-menu-column-inner","Combos de actualización","0",""
"ul","cbp-links cbp-valinks","Combos AMD","0",""
"a","","Combos AMD","0",""
"a","","Combos Intel","0",""
"div","tab-pane cbp-tab-pane innertabcontent-9","Procesadores","0",""
"div","clearfix","Procesadores","0",""
"div","row menu_row menu-element first_rows menu-element-id-1","Procesadores","0",""
"div","col-3 cbp-menu-column cbp-menu-element menu-element-id-3","Procesadores","0",""
"div","cbp-menu-column-inner","Procesadores","0",""
"ul","cbp-links cbp-valinks","AMD","0",""
"a","","AMD","0",""
"a","","INTEL","0",""
"div","col-3 cbp-menu-column cbp-menu-element menu-element-id-2","Motherboards","0",""
"div","cbp-menu-column-inner","Motherboards","0",""
"ul","cbp-links cbp-valinks","AMD","0",""
"a","","AMD","0",""
"a","","INTEL","0",""
"div","col-3 cbp-menu-column cbp-menu-element menu-element-id-6","Placa de Video","0",""
"div","cbp-menu-column-inner","Placa de Video","0",""
"ul","cbp-links cbp-valinks","AMD Radeon","0",""
"a","","AMD Radeon","0",""
"a","","Nvidia","0",""
"div","col-3 cbp-menu-column cbp-menu-element menu-element-id-4","Memorias","0",""
"div","cbp-menu-column-inner","Memorias","0",""
"ul","cbp-links cbp-valinks","PC de Escritorio","0",""
"a","","PC de Escritorio","0",""
"a","","Notebook","0",""
"a","","Micro SD","0",""
"div","row menu_row menu-element first_rows menu-element-id-7","Discos Rígidos","0",""
"div","col-3 cbp-menu-column cbp-menu-element menu-element-id-8","Discos Rígidos","0",""
"div","cbp-menu-column-inner","Discos Rígidos","0",""
"ul","cbp-links cbp-valinks","Internos","0",""
"a","","Internos","0",""
"a","","Externos","0",""
"div","col-3 cbp-menu-column cbp-menu-element menu-element-id-10","Discos Sólidos","0",""
"div","cbp-menu-column-inner","Discos Sólidos","0",""
"ul","cbp-links cbp-valinks","M.2","0",""
"a","","M.2","0",""
"a","","SATA III","0",""
"div","col-3 cbp-menu-column cbp-menu-element menu-element-id-11","Gabinetes","0",""
"div","cbp-menu-column-inner","Gabinetes","0",""
"ul","cbp-links cbp-valinks","Con Fuente","0",""
"a","","Con Fuente","0",""
"a","","Sin Fuente","0",""
"div","col-3 cbp-menu-column cbp-menu-element menu-element-id-12","Refrigeración","0",""
"div","cbp-menu-column-inner","Refrigeración","0",""
"ul","cbp-links cbp-valinks","Air Cooler","0",""
"a","","Air Cooler","0",""
"a","","Cooler Gabinete","0",""
"a","","Water Cooler","0",""
"a","","Pasta Térmica","0",""
"div","cbp-menu-column-inner","Fuentes de Alimentación","0",""
"div","cbp-menu-column-inner","Lectograbadoras","0",""
"div","tab-pane cbp-tab-pane innertabcontent-10","Periféricos","0",""
",0,","","","0",""
"div","clearfix","Periféricos","0",""
",0,","","","0",""
"div","row menu_row menu-element first_rows menu-element-id-1","Periféricos","0",""
",0,","","","0",""
"div","col-3 cbp-menu-column cbp-menu-element menu-element-id-2","Periféricos","0",""
",0,","","","0",""
"div","cbp-menu-column-inner","Periféricos","0",""
",0,","","","0",""
"ul","cbp-links cbp-valinks","Kit Teclado Y Mouse","0",""
",0,","","","0",""
"a","","Kit Teclado Y Mouse","0",""
"a","","Mouse","0",""
"a","","Teclados","0",""
"a","","Mousepad","0",""
"a","","Auriculares","0",""
"a","","Joystick","0",""
"a","","Parlantes","0",""
"a","","Webcam","0",""
"div","tab-pane cbp-tab-pane innertabcontent-11","Play Station","0",""
",0,","","","0",""
"div","clearfix","Play Station","0",""
",0,","","","0",""
"div","row menu_row menu-element first_rows menu-element-id-1","Play Station","0",""
",0,","","","0",""
"div","col-3 cbp-menu-column cbp-menu-element menu-element-id-6","Play Station","0",""
",0,","","","0",""
"div","cbp-menu-column-inner","Play Station","0",""
",0,","","","0",""
"ul","cbp-links cbp-valinks","Consola","0",""
",0,","","","0",""
"a","","Consola","0",""
"a","","Joystick","0",""
"div","col-3 cbp-menu-column cbp-menu-element menu-element-id-3","Xbox","0",""
",0,","","","0",""
"div","cbp-menu-column-inner","Xbox","0",""
",0,","","","0",""
"ul","cbp-links cbp-valinks","Consola","0",""
",0,","","","0",""
"a","","Consola","0",""
"a","","Joystick","0",""
"div","col-3 cbp-menu-column cbp-menu-element menu-element-id-4","Sillas Gamer","0",""
",0,","","","0",""
"div","cbp-menu-column-inner","Sillas Gamer","0",""
",0,","","","0",""
"ul","cbp-links cbp-valinks","Silla Gamer","0",""
"a","","Silla Gamer","0",""
