tag,class,text_preview,is_valid,type
div,animated infinite pulse,,,
a,indicator__button cargarCarrito,0,,
div,departments__body,Consolas y Accesorios Consolas Retro Nintendo Playstation Tarjetas Digitales Videojuegos para chicos,,
div,departments__submenu departments__submenu--type--menu,Videojuegos,,
a,menu__item-link,Consolas y Accesorios,,
a,menu__item-link,Consolas Retro,,
a,menu__item-link,Nintendo,,
a,menu__item-link,Playstation,,
a,menu__item-link,Tarjetas Digitales,,
a,menu__item-link,Videojuegos para chicos,,
a,menu__item-link,Xbox,,
a,menu__item-link,Preventas,,
div,departments__submenu departments__submenu--type--menu,Periféricos Gamer,,
a,menu__item-link,Auriculares,,
a,menu__item-link,Joysticks,,
a,menu__item-link,Monitores,,
a,menu__item-link,Mousepads,,
a,menu__item-link,Mouses,,
a,menu__item-link,Teclados,,
div,departments__submenu departments__submenu--type--menu,💥Tarjetas Digitales,,
a,menu__item-link,Playstation Cards,,
a,menu__item-link,Microsoft Cards,,
a,menu__item-link,Nintendo Eshop Cards,,
div,departments__submenu departments__submenu--type--menu,Electronica y Gadgets,,
a,menu__item-link,Accesorios,,
a,menu__item-link,Hogar Inteligente,,
a,menu__item-link,Pilas,,
a,menu__item-link,Smartphones,,
a,menu__item-link,Smartwatch,,
div,departments__submenu departments__submenu--type--menu,Celulares y Smartwatch,,
a,menu__item-link,Smartphone,,
div,departments__submenu departments__submenu--type--menu,Componentes de PC,,
a,menu__item-link,Discos Rigidos y Solidos,,
a,menu__item-link,Memorias,,
a,menu__item-link,Microprocesadores,,
a,menu__item-link,Motherboards,,
a,menu__item-link,Gabinetes,,
a,menu__item-link,Fuentes,,
button,layout-switcher__button default,,,
ul,footer-links__list,Consolas,,
li,footer-links__item,Lego,,
li,footer-links__item,Notebooks,,
li,footer-links__item,Amiibos y Figuras de Colección,,
li,footer-links__item,Blu-Ray,,
li,footer-links__item,Cartas T.C.G,,
a,menu__item-link,Coolers,,
a,menu__item-link,Discos Duros HDD,,
a,menu__item-link,Discos Sólidos SSD,,
a,menu__item-link,Memorias Ram,,
a,menu__item-link,Placas de Video,,
a,menu__item-link,Procesadores,,
div,departments__submenu departments__submenu--type--menu,Periféricos,,
a,menu__item-link,Almacenamiento,,
a,menu__item-link,Impresoras,,
a,menu__item-link,Kit Gaming,,
a,menu__item-link,Kit Oficina,,
a,menu__item-link,Micrófonos,,
a,menu__item-link,Parlantes,,
a,menu__item-link,Web Cam,,
a,menu__item-link,Pads y Otros,,
div,departments__submenu departments__submenu--type--menu,Videojuegos y Consolas,,
a,menu__item-link,Juegos Nintendo Switch,,
a,menu__item-link,Juegos PS4,,
a,menu__item-link,Juegos PS5,,
a,menu__item-link,Consolas de Videojuegos,,
div,departments__submenu departments__submenu--type--menu,PC Armadas y Notebooks,,
a,menu__item-link,PC Gamers,,
a,menu__item-link,PC para Oficina y PyME,,
button,departments__button,Nuestros Productos,,
li,footer-links__item,Sillas Gamer,,
li,footer-links__item,Tabletas Digitalizadoras,,
li,footer-links__item,Cables y Adaptadores,,
li,footer-links__item,Apple Store y Smartphones,,
li,footer-links__item,Merchandasing,,
div,wa__member_name,Linea Gorila,,
div,wa__member_duty,351 227-6647,,
a,btn btn-link pl-2 pr-2 pull-left btn-mi-cuenta,ingresar,,
span,modo-oscuro,MODO OSCURO,,
span,modo-claro none,MODO CLARO,,
div,panel panel-default panel-rose ,Accesorios y Conectividad Wifi (5),,
a,menu-item waves-effect waves-light,Conectividad Wi-Fi  (5),,
a,menu-item waves-effect waves-light,Coolers (5),,
a,menu-item waves-effect waves-light,Disco Hdd (5),,
a,menu-item waves-effect waves-light,Discos Ssd (5),,
a,menu-item waves-effect waves-light,Fuentes de Poder (5),,
a,menu-item waves-effect waves-light,Gabinetes (5),,
a,menu-item waves-effect waves-light,Memorias Ram (5),,
a,menu-item waves-effect waves-light,Motherboards (5),,
a,menu-item waves-effect waves-light,Outlet (5),,
a,menu-item waves-effect waves-light,Placas De Video (5),,
a,menu-item waves-effect waves-light,Procesadores (5),,
a,menu-item waves-effect waves-light,Stream (5),,
a,px-2,precio Menor a Mayor,,
a,px-2,precio Mayor a Menor,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,135926                                                    ,,
span,pull-left articulo_field,135926,,
span,pull-right,En stock,,
h4,card-title mb-1 h-40*,CABLE SATA MOTHER,,
div,card-footer justify-content-between p-0,$1.694$1.694$1.499Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$1.694,,
h4,mt-0 pecio_final ft,$1.499Precio especial,,
span,filtros_cucarda,nb,,
span,pull-left articulo_field,EFCA500BWEGW,,
h4,card-title mb-1 h-40*,Accesorios Samsung S View Cover A5 Blanco,,
div,card-footer justify-content-between p-0,$2.635$2.635$2.332Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$2.635,,
h4,mt-0 pecio_final ft,$2.332Precio especial,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3622 ,135928                                                    ,,
span,pull-left articulo_field,135928,,
h4,card-title mb-1 h-40*,SWITCH RED REDRAGON KUMARA X1,,
div,card-footer justify-content-between p-0,$2.824$2.824$2.499Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$2.824,,
h4,mt-0 pecio_final ft,$2.499Precio especial,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,150803                                                    ,,
span,pull-left articulo_field,150803,,
h4,card-title mb-1 h-40*,LAPIZ OPTICO TOUCH,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,135916                                                    ,,
span,pull-left articulo_field,135916,,
h4,card-title mb-1 h-40*,ADAPTADOR JACK 3.5M A 6.5M,,
div,col-md-3 listado- pull-left prod-cat cat-3121 marca_3621 ,135917                                                    ,,
span,pull-left articulo_field,135917,,
h4,card-title mb-1 h-40*,ADAPTADOR JACK 6.5M A 3.5M,,
span,pull-left articulo_field,CPU B30 BLANCA,,
h4,card-title mb-1 h-40*,Grasa Siliconada Pastermax Para Cpu B30 (blanca) Pasta Termica,,
div,card-footer justify-content-between p-0,$3.441$3.441$3.045Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$3.441,,
h4,mt-0 pecio_final ft,$3.045Precio especial,,
span,pull-left articulo_field,CPU G60 GRIS,,
h4,card-title mb-1 h-40*,Grasa Siliconada  Pastermax Para Cpu G60 (gris) Pasta Termica,,
div,card-footer justify-content-between p-0,$3.830$3.830$3.390Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$3.830,,
h4,mt-0 pecio_final ft,$3.390Precio especial,,
span,pull-left articulo_field,32590002400,,
h4,card-title mb-1 h-40*,Genius Adaptador Usb-c A Usb-a Assy Rs2 Acc-c2a,,
